Purchase Cycle ,2,weeks,,,,
Total Sales per Order,8,USD,,,,
Avg. Customer Order per Purchase Cycle,5,Times,,,,
Cost per Acquisition,7.5,USD,,,,
Retension Period,3,Years,,,,
,,,,,,
Avg. Sales per Purchase Cycle,40,,,,,
Number of Repeat Sales per Year,26,,,,,
Profit Margin,0.0625,,,,,
,,,,,,
Life Time Value (LTV),195,,,,,
,,,,,,
,,,,,,
,,,,,,
Life Time Value (LTV) = Average Sale per Purchase Cycle x Number of Repeated Sales per Year x Expected Retention Time (Years) x Profit Margin,,,,,,
